,ds,y
688,2024-11-24,9684
689,2024-11-25,10812
690,2024-11-26,6187
691,2024-11-27,6374
692,2024-11-28,9575
693,2024-11-29,7916
694,2024-11-30,1428
695,2024-12-01,9574
696,2024-12-02,13050
697,2024-12-03,11848
698,2024-12-04,9762
699,2024-12-05,11307
700,2024-12-06,8766
701,2024-12-07,10618
702,2024-12-08,12629
703,2024-12-09,10777
704,2024-12-10,7932
705,2024-12-11,4327
706,2024-12-12,1950
707,2024-12-13,3819
708,2024-12-14,7815
709,2024-12-15,10691
710,2024-12-16,10668
711,2024-12-17,8240
712,2024-12-18,4438
713,2024-12-19,6980
714,2024-12-20,6901
715,2024-12-21,7877
716,2024-12-22,8965
717,2024-12-23,7322
718,2024-12-24,7665
719,2024-12-25,5351
720,2024-12-26,3894
721,2024-12-27,3973
722,2024-12-28,7500
723,2024-12-29,10382
724,2024-12-30,7349
725,2024-12-31,10298
726,2025-01-01,10335
727,2025-01-02,9775
728,2025-01-03,9631
729,2025-01-04,9994
730,2025-01-05,12039
731,2025-01-06,0
732,2025-01-07,0
733,2025-01-08,0
734,2025-01-09,0
735,2025-01-10,0
736,2025-01-11,0
737,2025-01-12,0
738,2025-01-13,5390
739,2025-01-14,6059
740,2025-01-15,6503
741,2025-01-16,9285
742,2025-01-17,8589
743,2025-01-18,5340
744,2025-01-19,2873
745,2025-01-20,10273
746,2025-01-21,7578
747,2025-01-22,9828
748,2025-01-23,9698
749,2025-01-24,10674
750,2025-01-25,10351
751,2025-01-26,11127
752,2025-01-27,10824
753,2025-01-28,10909
754,2025-01-29,11051
755,2025-01-30,9917
756,2025-01-31,10219
757,2025-02-01,10164
758,2025-02-02,11143
759,2025-02-03,11399
760,2025-02-04,11015
761,2025-02-05,12372
762,2025-02-06,0
763,2025-02-07,0
764,2025-02-08,0
765,2025-02-09,0
766,2025-02-10,0
767,2025-02-11,0
768,2025-02-12,0
769,2025-02-13,11472
770,2025-02-14,11167
771,2025-02-15,11028
772,2025-02-16,11181
773,2025-02-17,11634
774,2025-02-18,11570
775,2025-02-19,8148
776,2025-02-20,10754
777,2025-02-21,10245
778,2025-02-22,10985
779,2025-02-23,10769
780,2025-02-24,12197
781,2025-02-25,11902
782,2025-02-26,11663
783,2025-02-27,11954
784,2025-02-28,11226
785,2025-03-01,10696
786,2025-03-02,11558
787,2025-03-03,10251
788,2025-03-04,6507
789,2025-03-05,14554
790,2025-03-06,0
791,2025-03-07,0
792,2025-03-08,0
793,2025-03-09,0
794,2025-03-10,0
795,2025-03-11,0
796,2025-03-12,0
797,2025-03-13,11625
798,2025-03-14,10491
799,2025-03-15,10227
800,2025-03-16,9716
801,2025-03-17,10170
802,2025-03-18,10711
803,2025-03-19,10472
804,2025-03-20,10796
805,2025-03-21,11915
806,2025-03-22,9503
807,2025-03-23,10515
808,2025-03-24,12835
809,2025-03-25,14607
810,2025-03-26,8315
811,2025-03-27,13392
812,2025-03-28,12745
813,2025-03-29,14000
814,2025-03-30,13115
815,2025-03-31,12659
816,2025-04-01,9833
817,2025-04-02,10989
818,2025-04-03,9696
819,2025-04-04,12145
820,2025-04-05,13834
821,2025-04-06,0
822,2025-04-07,0
823,2025-04-08,0
824,2025-04-09,0
825,2025-04-10,0
826,2025-04-11,0
827,2025-04-12,0
828,2025-04-13,12528
829,2025-04-14,13582
830,2025-04-15,13545
831,2025-04-16,11545
832,2025-04-17,14811
833,2025-04-18,11239
834,2025-04-19,12892
835,2025-04-20,12410
836,2025-04-21,9339
837,2025-04-22,15225
838,2025-04-23,14914
839,2025-04-24,14319
840,2025-04-25,13565
841,2025-04-26,13434
842,2025-04-27,12163
843,2025-04-28,11996
844,2025-04-29,12748
845,2025-04-30,11503
846,2025-05-01,10478
847,2025-05-02,10896
848,2025-05-03,10451
849,2025-05-04,12092
850,2025-05-05,0
851,2025-05-06,0
852,2025-05-07,0
853,2025-05-08,0
854,2025-05-09,0
855,2025-05-10,0
856,2025-05-11,0
857,2025-05-12,0
858,2025-05-13,0
859,2025-05-14,0
860,2025-05-15,0
861,2025-05-16,0
862,2025-05-17,0
863,2025-05-18,0
864,2025-05-19,0
865,2025-05-20,0
866,2025-05-21,0
867,2025-05-22,0
868,2025-05-23,0
869,2025-05-24,0
870,2025-05-25,0
871,2025-05-26,0
872,2025-05-27,0
873,2025-05-28,0
874,2025-05-29,0
875,2025-05-30,0
876,2025-05-31,0
877,2025-06-01,10495
878,2025-06-02,11449
879,2025-06-03,9943
880,2025-06-04,11168
881,2025-06-05,0
882,2025-06-06,0
883,2025-06-07,0
884,2025-06-08,0
885,2025-06-09,0
886,2025-06-10,0
887,2025-06-11,0
888,2025-06-12,0
889,2025-06-13,0
890,2025-06-14,0
891,2025-06-15,0
892,2025-06-16,0
893,2025-06-17,0
894,2025-06-18,0
895,2025-06-19,0
896,2025-06-20,0
897,2025-06-21,0
898,2025-06-22,0
899,2025-06-23,0
900,2025-06-24,0
901,2025-06-25,0
902,2025-06-26,0
903,2025-06-27,0
904,2025-06-28,0
905,2025-06-29,0
906,2025-06-30,0
907,2025-07-01,10108
908,2025-07-02,11591
909,2025-07-03,10842
910,2025-07-04,14709
911,2025-07-05,0
912,2025-07-06,0
913,2025-07-07,0
914,2025-07-08,0
915,2025-07-09,0
916,2025-07-10,0
917,2025-07-11,0
918,2025-07-12,0
919,2025-07-13,0
920,2025-07-14,0
921,2025-07-15,0
922,2025-07-16,0
923,2025-07-17,0
924,2025-07-18,0
925,2025-07-19,0
926,2025-07-20,0
927,2025-07-21,0
928,2025-07-22,0
929,2025-07-23,0
930,2025-07-24,0
931,2025-07-25,0
932,2025-07-26,0
933,2025-07-27,0
934,2025-07-28,0
935,2025-07-29,0
936,2025-07-30,0
937,2025-07-31,0
938,2025-08-01,10236
939,2025-08-02,10825
940,2025-08-03,10496
941,2025-08-04,14815
942,2025-08-05,0
943,2025-08-06,0
944,2025-08-07,0
945,2025-08-08,0
946,2025-08-09,0
947,2025-08-10,0
948,2025-08-11,0
949,2025-08-12,0
950,2025-08-13,0
951,2025-08-14,0
952,2025-08-15,0
953,2025-08-16,0
954,2025-08-17,0
955,2025-08-18,0
956,2025-08-19,0
957,2025-08-20,0
958,2025-08-21,0
959,2025-08-22,0
960,2025-08-23,0
961,2025-08-24,0
962,2025-08-25,0
963,2025-08-26,0
964,2025-08-27,0
965,2025-08-28,0
966,2025-08-29,0
967,2025-08-30,0
968,2025-08-31,0
969,2025-09-01,9343
970,2025-09-02,10944
971,2025-09-03,10711
972,2025-09-04,13623
973,2025-09-05,0
974,2025-09-06,0
975,2025-09-07,0
976,2025-09-08,0
977,2025-09-09,0
978,2025-09-10,0
979,2025-09-11,0
980,2025-09-12,0
